	PeakID (cmd=annotatePeaks.pl data/GSM816655_hg19_wgEncodeOpenChromDnaseK562PkV2.narrowPeak hg19 -gtf ref_files/gencode.v41.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1	chr4.3525	chr4	185458456	185459561	+	1000		promoter-TSS (ENST00000508538.1)	protein_coding-promoter-TSS (ENST00000508538.1)	-642	ENST00000508538.1	ENSG00000168491	ENST00000510481			CCDC110			protein_coding
9	chr17.3240	chr17	45608112	45609772	+	1000		TTS (ENST00000393490.3)	processed_pseudogene-TTS (ENST00000393490.3)	371	ENST00000393490.3	ENSG00000204652	ENST00000393490			RPS26P8			processed_pseudogene
12	chr9.583	chr9	37079334	37080578	+	1000		promoter-TSS (ENST00000569583.1)	lncRNA-promoter-TSS (ENST00000569583.1)	-1	ENST00000654889.1	ENSG00000281649	ENST00000660341			EBLN3P			lncRNA
18	chr3.2081	chr3	49044301	49045881	+	1000		promoter-TSS (ENST00000489642.5)	protein_coding-promoter-TSS (ENST00000489642.5)	-649	ENST00000489642.5	ENSG00000198218	ENST00000357496			QRICH1			protein_coding
22	chr1.203	chr1	1293175	1295154	+	1000		TTS (ENST00000470659.1)	protein_coding-TTS (ENST00000470659.1)	844	ENST00000470659.1	ENSG00000131584	ENST00000467278			ACAP3			protein_coding
24	chr16.3397	chr16	67429965	67430998	+	1000		promoter-TSS (ENST00000326152.6)	protein_coding-promoter-TSS (ENST00000326152.6)	-171	ENST00000567684.2	ENSG00000176387	ENST00000566606			HSD11B2			protein_coding
28	chr8.1458	chr8	42195296	42196750	+	1000		promoter-TSS (ENST00000521694.1)	protein_coding-promoter-TSS (ENST00000521694.1)	-325	ENST00000521694.1	ENSG00000104368	ENST00000519510			PLAT			protein_coding
37	chr9.400	chr9	34328690	34329917	+	1000		promoter-TSS (ENST00000346365.8)	protein_coding-promoter-TSS (ENST00000346365.8)	-35	ENST00000402558.7	ENSG00000186638	ENST00000402558			KIF24			protein_coding
39	chr18.1524	chr18	74533675	74535249	+	1000		promoter-TSS (ENST00000358821.8)	protein_coding-promoter-TSS (ENST00000358821.8)	-38	ENST00000358821.8	ENSG00000150656	ENST00000584004			CNDP1			protein_coding
42	chr1.8884	chr1	155033812	155034584	+	1000		promoter-TSS (ENST00000368424.4)	protein_coding-promoter-TSS (ENST00000368424.4)	228	ENST00000368419.2	ENSG00000163357	ENST00000368419			DCST1			protein_coding
43	chr22.2801	chr22	50705935	50706514	+	1000		intron (ENST00000673971.2, intron 17 of 22)	protein_coding-intron (ENST00000262795.7, intron 16 of 21)	728	ENST00000664402.2	ENSG00000251322	ENST00000673971			SHANK3			protein_coding
51	chr19.3667	chr19	35757639	35761054	+	1000		promoter-TSS (ENST00000539771.1)	protein_coding-promoter-TSS (ENST00000539771.1)	-42	ENST00000539771.1	ENSG00000167595	ENST00000444637			PROSER3			protein_coding
55	chr5.4951	chr5	178053089	178054568	+	1000		promoter-TSS (ENST00000515878.1)	lncRNA-promoter-TSS (ENST00000515878.1)	-44	ENST00000515878.1	ENSG00000204677	ENST00000650646			FAM153CP			lncRNA
64	chr12.1662	chr12	51984264	51985575	+	1000		intron (ENST00000563121.1, intron 1 of 2)	protein_coding-intron (ENST00000257963.9, intron 5 of 8)	884	ENST00000563121.1	ENSG00000135503	ENST00000426655			ACVR1B			protein_coding
65	chr17.3144	chr17	44656414	44657588	+	1000		intron (ENST00000409122.7, intron 1 of 7)	protein_coding-intron (ENST00000409122.7, intron 1 of 7)	533	ENST00000409122.7	ENSG00000180336	ENST00000425535			MEIOC			protein_coding
66	chr16.691	chr16	2932424	2933749	+	1000		promoter-TSS (ENST00000344592.9)	protein_coding-promoter-TSS (ENST00000344592.9)	-63	ENST00000344592.9	ENSG00000059122	ENST00000571983			FLYWCH1			protein_coding
